leftArm,leftForearm,rightArm,rightForearm,leftThigh,leftShin,rightThigh,rightShin,position:hips:x,position:hips:y,position:hips:z
0.062223,-0.598488,0.430275,-0.453230,0.356974,-0.585034,0.356974,-0.585033,0.00,-0.00,5.77
0.123397,-0.560562,0.399064,-0.509805,0.409705,-0.670178,0.409705,-0.670177,0.00,-0.00,6.00
0.182490,-0.513177,0.361118,-0.557777,0.481251,-0.784860,0.481251,-0.784860,0.00,-0.00,6.35
0.238503,-0.457132,0.317079,-0.596335,0.546513,-0.888479,0.546513,-0.888478,0.00,-0.00,6.70
0.290488,-0.393371,0.267689,-0.624829,0.603131,-0.977487,0.603131,-0.977486,0.00,-0.00,7.04
0.337574,-0.322972,0.213779,-0.642778,0.651339,-1.052540,0.651339,-1.052540,0.00,-0.00,7.34
0.378962,-0.247122,0.156264,-0.649880,0.691550,-1.114591,0.691550,-1.114591,0.00,-0.00,7.61
0.413954,-0.167102,0.096110,-0.646014,0.724351,-1.164776,0.724351,-1.164776,0.00,-0.00,7.83
0.441960,-0.084263,0.034333,-0.631246,0.749773,-1.203416,0.749773,-1.203416,0.00,-0.00,8.01
0.462508,0.000000,-0.028016,-0.605825,0.768027,-1.231009,0.768026,-1.231009,0.00,-0.00,8.14
0.475250,0.084263,-0.089902,-0.570180,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
0.479972,0.167102,-0.150266,-0.524913,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
0.476593,0.247122,-0.208095,-0.470787,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
0.465172,0.322972,-0.262410,-0.408715,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
0.445901,0.393371,-0.312300,-0.339747,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
0.419103,0.457132,-0.356918,-0.265044,0.766049,-1.228026,0.766049,-1.228026,0.00,-0.00,8.12
0.385234,0.513178,-0.395512,-0.185867,0.754051,-1.209894,0.754050,-1.209893,0.00,-0.00,8.04
0.344863,0.560562,-0.427432,-0.103557,0.736552,-1.183351,0.736552,-1.183351,0.00,-0.00,7.91
0.298672,0.598488,-0.452138,-0.019495,0.710567,-1.143746,0.710566,-1.143746,0.00,-0.00,7.74
0.247440,0.626313,-0.469215,0.064891,0.670059,-1.081494,0.670059,-1.081494,0.00,-0.00,7.46
0.192033,0.643568,-0.478372,0.148185,0.597565,-0.968776,0.597565,-0.968775,0.00,-0.00,7.00
0.133385,0.649962,-0.479456,0.228978,0.459854,-0.750671,0.459854,-0.750670,0.00,-0.00,6.24
0.072487,0.645387,-0.472448,0.305907,0.374141,-0.612807,0.374140,-0.612807,0.00,-0.00,5.84
0.010358,0.629921,-0.457469,0.377673,0.356974,-0.585034,0.356974,-0.585033,0.00,-0.00,5.77
-0.051934,0.603823,-0.434768,0.443065,0.409706,-0.670178,0.409705,-0.670178,0.00,-0.00,6.00
-0.113351,0.567536,-0.404730,0.500980,0.481251,-0.784860,0.481251,-0.784860,0.00,-0.00,6.35
-0.172861,0.521671,-0.367861,0.550440,0.546513,-0.888479,0.546513,-0.888478,0.00,-0.00,6.70
-0.229452,0.467002,-0.324786,0.590612,0.603131,-0.977487,0.603131,-0.977486,0.00,-0.00,7.04
-0.282171,0.404452,-0.276228,0.620815,0.651339,-1.052540,0.651339,-1.052540,0.00,-0.00,7.34
-0.330128,0.335076,-0.223009,0.640542,0.691550,-1.114591,0.691550,-1.114591,0.00,-0.00,7.61
-0.372512,0.260045,-0.166026,0.649459,0.724351,-1.164776,0.724351,-1.164776,0.00,-0.00,7.83
-0.408611,0.180625,-0.106243,0.647415,0.749773,-1.203416,0.749773,-1.203416,0.00,-0.00,8.01
-0.437814,0.098158,-0.044657,0.634446,0.768027,-1.231009,0.768026,-1.231009,0.00,-0.00,8.14
-0.459628,0.014033,0.017673,0.610769,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
-0.473685,-0.070326,0.079698,0.576785,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
-0.479748,-0.153501,0.140389,0.533067,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
-0.477715,-0.234083,0.198707,0.480353,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
-0.467620,-0.310717,0.253672,0.419533,0.772943,-1.238419,0.772943,-1.238419,0.00,-0.00,8.17
-0.449633,-0.382107,0.304357,0.351631,0.769000,-1.232478,0.769000,-1.232477,0.00,-0.00,8.14
-0.424059,-0.447048,0.349905,0.277796,0.759454,-1.218066,0.759454,-1.218066,0.00,-0.00,8.07
-0.391327,-0.504444,0.389548,0.199274,0.745978,-1.197663,0.745978,-1.197663,0.00,-0.00,7.98
-0.351992,-0.553328,0.422617,0.117387,0.727009,-1.168826,0.727008,-1.168826,0.00,-0.00,7.85
-0.306716,-0.592873,0.448554,0.033518,0.699591,-1.126935,0.699591,-1.126935,0.00,-0.00,7.66
-0.256264,-0.622413,0.466920,-0.050909,0.657895,-1.062693,0.657895,-1.062692,0.00,-0.00,7.38
-0.201487,-0.641448,0.477407,-0.134486,0.585784,-0.950307,0.585784,-0.950306,0.00,-0.00,6.93
-0.143309,-0.649659,0.479837,-0.215790,0.456971,-0.746057,0.456971,-0.746056,0.00,-0.00,6.22
-0.082714,-0.646906,0.474170,-0.293452,0.374098,-0.612738,0.374098,-0.612738,0.00,-0.00,5.84
-0.020728,-0.633235,0.460500,-0.366162,0.356974,-0.585034,0.356974,-0.585033,0.00,-0.00,5.77
