leftArm,leftForearm,rightArm,rightForearm,leftThigh,leftShin,rightThigh,rightShin,position:hips:x,position:hips:y,position:hips:z
1.337646,0.000000,1.337646,0.000000,1.149584,-1.175551,0.356974,-0.585033,0.00,-0.00,5.77
1.307171,0.000000,1.308552,0.000000,1.469094,-1.363930,0.409705,-0.670177,0.00,-0.00,6.00
1.129277,0.000000,1.159880,0.000000,1.815416,-1.338119,0.481251,-0.784860,0.00,-0.00,6.35
0.861099,0.000000,0.906120,0.000000,1.842603,-0.943605,0.546513,-0.888478,0.00,-0.00,6.70
0.717722,0.000000,0.746294,0.000000,1.710230,-0.563259,0.603131,-0.977486,0.00,-0.00,7.04
0.632861,0.000000,0.650396,0.000000,1.577919,-0.285352,0.651339,-1.052540,0.00,-0.00,7.34
0.577690,0.000000,0.588199,0.000000,1.513471,-0.164254,0.691550,-1.114591,0.00,-0.00,7.61
0.540725,0.000000,0.546673,0.000000,1.555523,-0.237379,0.724351,-1.164776,0.00,-0.00,7.83
0.516243,0.000000,0.519255,0.000000,1.644301,-0.395447,0.749773,-1.203416,0.00,-0.00,8.01
0.500954,0.000000,0.502174,0.000000,1.745531,-0.582692,0.768026,-1.231009,0.00,-0.00,8.14
0.492771,0.000000,0.493052,0.000000,1.848096,-0.782151,0.772943,-1.238419,0.00,-0.00,8.17
0.490284,0.000000,0.490283,0.000000,1.946854,-0.987589,0.772943,-1.238419,0.00,-0.00,8.17
0.492362,0.000000,0.492597,0.000000,2.037051,-1.194729,0.772943,-1.238419,0.00,-0.00,8.17
0.499141,0.000000,0.500152,0.000000,2.112326,-1.398619,0.772943,-1.238419,0.00,-0.00,8.17
0.511656,0.000000,0.514126,0.000000,2.163635,-1.592519,0.772943,-1.238419,0.00,-0.00,8.17
0.531374,0.000000,0.536191,0.000000,2.177929,-1.766216,0.766049,-1.228026,0.00,-0.00,8.12
0.560482,0.000000,0.568851,0.000000,2.138842,-1.905354,0.754050,-1.209893,0.00,-0.00,8.04
0.602484,0.000000,0.616123,0.000000,2.032128,-1.992782,0.736552,-1.183351,0.00,-0.00,7.91
0.663587,0.000000,0.685110,0.000000,1.859217,-2.015596,0.710566,-1.143746,0.00,-0.00,7.74
0.756562,0.000000,0.790091,0.000000,1.645060,-1.973243,0.670059,-1.081494,0.00,-0.00,7.46
0.913965,0.000000,0.962505,0.000000,1.425849,-1.878821,0.597565,-0.968775,0.00,-0.00,7.00
1.176825,0.000000,1.198016,0.000000,1.228208,-1.750611,0.459854,-0.750670,0.00,-0.00,6.24
1.312983,0.000000,1.313960,0.000000,1.063183,-1.604160,0.374140,-0.612807,0.00,-0.00,5.84
1.337646,0.000000,1.337646,0.000000,0.930860,-1.448780,0.356974,-0.585033,0.00,-0.00,5.77
1.307171,0.000000,1.308552,0.000000,0.815016,-1.287704,0.858685,-1.264778,0.00,-0.00,6.00
1.129277,0.000000,1.159880,0.000000,0.699916,-1.119272,1.435334,-1.708079,0.00,-0.00,6.35
0.861099,0.000000,0.906120,0.000000,0.582179,-0.940187,1.897205,-1.798667,0.00,-0.00,6.70
0.717722,0.000000,0.746294,0.000000,0.604516,-0.977483,2.071336,-1.572955,0.00,-0.00,7.04
0.632861,0.000000,0.650396,0.000000,0.651850,-1.052540,1.991445,-1.150528,0.00,-0.00,7.34
0.577690,0.000000,0.588199,0.000000,0.691637,-1.114591,1.760128,-0.620687,0.00,-0.00,7.61
0.540725,0.000000,0.546673,0.000000,0.724351,-1.164776,1.513471,-0.164252,0.00,-0.00,7.83
0.516243,0.000000,0.519255,0.000000,0.749773,-1.203416,1.571014,-0.273868,0.00,-0.00,8.01
0.500954,0.000000,0.502174,0.000000,0.768027,-1.231009,1.659947,-0.459032,0.00,-0.00,8.14
0.492771,0.000000,0.493052,0.000000,0.772943,-1.238419,1.736274,-0.642595,0.00,-0.00,8.17
0.490284,0.000000,0.490283,0.000000,0.772943,-1.238419,1.793364,-0.812051,0.00,-0.00,8.17
0.492362,0.000000,0.492597,0.000000,0.772943,-1.238419,1.829311,-0.964270,0.00,-0.00,8.17
0.499141,0.000000,0.500152,0.000000,0.772943,-1.238419,1.842555,-1.097515,0.00,-0.00,8.17
0.511656,0.000000,0.514126,0.000000,0.772943,-1.238419,1.831115,-1.209658,0.00,-0.00,8.17
0.531374,0.000000,0.536191,0.000000,0.769000,-1.232478,1.792676,-1.297785,0.00,-0.00,8.14
0.560482,0.000000,0.568851,0.000000,0.759454,-1.218066,1.725500,-1.358754,0.00,-0.00,8.07
0.602484,0.000000,0.616123,0.000000,0.745978,-1.197663,1.628238,-1.388457,0.00,-0.00,7.98
0.663587,0.000000,0.685110,0.000000,0.727009,-1.168826,1.501298,-1.383098,0.00,-0.00,7.85
0.756562,0.000000,0.790091,0.000000,0.699591,-1.126935,1.346398,-1.338771,0.00,-0.00,7.66
0.913965,0.000000,0.962505,0.000000,0.657895,-1.062693,1.165766,-1.251054,0.00,-0.00,7.38
1.176825,0.000000,1.198016,0.000000,0.585784,-0.950307,0.960758,-1.113985,0.00,-0.00,6.93
1.312983,0.000000,1.313960,0.000000,0.505583,-0.739215,0.727987,-0.915053,0.00,-0.00,6.22
1.337646,0.000000,1.337646,0.000000,0.715135,-0.856322,0.449581,-0.618864,0.00,-0.00,5.84
1.337646,0.000000,1.337646,0.000000,0.715135,-0.856322,0.449581,-0.618864,0.00,-0.00,5.84
