leftArm,leftForearm,rightArm,rightForearm,leftThigh,leftShin,rightThigh,rightShin,position:hips:x,position:hips:y,position:hips:z
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
0.356316,1.249429,0.729481,0.782301,0.819522,-0.876807,0.824581,-1.056791,0.00,-0.00,5.77
0.743144,0.682565,0.326564,1.370008,0.849149,-1.104950,0.880923,-0.953908,0.00,-0.00,5.77
1.018545,0.278986,0.039705,1.788426,0.832510,-1.219383,0.890274,-0.839042,0.00,-0.00,5.77
1.199174,0.014286,-0.148435,2.062858,0.806929,-1.276709,0.878900,-0.739263,0.00,-0.00,5.77
1.301687,-0.135932,-0.255210,2.218605,0.787580,-1.303437,0.864541,-0.671166,0.00,-0.00,5.77
1.342735,-0.196087,-0.297966,2.280970,0.779025,-1.313163,0.856847,-0.641001,0.00,-0.00,5.77
1.338975,-0.190576,-0.294049,2.275257,0.779844,-1.312315,0.857604,-0.643843,0.00,-0.00,5.77
1.307059,-0.143808,-0.260806,2.226768,0.786467,-1.304718,0.863603,-0.667322,0.00,-0.00,5.77
1.263643,-0.080185,-0.215583,2.160805,0.795164,-1.294006,0.870573,-0.697475,0.00,-0.00,5.77
1.225380,-0.024110,-0.175731,2.102672,0.802311,-1.283937,0.875853,-0.722777,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
0.818116,0.572700,0.248474,1.483914,0.847398,-1.139505,0.886290,-0.926493,0.00,-0.00,5.77
0.498573,1.040964,0.581308,0.998431,0.838653,-0.971649,0.850616,-1.026118,0.00,-0.00,5.77
0.243729,1.414417,0.846751,0.611247,0.795957,-0.789913,0.799942,-1.075568,0.00,-0.00,5.77
0.047018,1.702683,1.051646,0.312381,0.730337,-0.601787,0.748832,-1.097117,0.00,-0.00,5.77
-0.098131,1.915388,1.202832,0.091854,0.646857,-0.408060,0.704897,-1.104034,0.00,-0.00,5.77
-0.198286,2.062155,1.307152,-0.060308,0.541083,-0.196044,0.671654,-1.104406,0.00,-0.00,5.77
-0.260013,2.152611,1.371446,-0.154091,0.396693,0.065170,0.650013,-1.102848,0.00,-0.00,5.77
-0.289880,2.196379,1.402555,-0.199469,0.403362,0.065166,0.639234,-1.101604,0.00,-0.00,5.77
-0.294455,2.203084,1.407321,-0.206420,0.404377,0.065166,0.637565,-1.101385,0.00,-0.00,5.77
-0.280306,2.182351,1.392585,-0.184925,0.401233,0.065166,0.642710,-1.102038,0.00,-0.00,5.77
-0.254004,2.143805,1.365187,-0.144962,0.395343,0.065170,0.652158,-1.103060,0.00,-0.00,5.77
-0.222112,2.097071,1.331969,-0.096509,0.495141,-0.111396,0.663403,-1.103966,0.00,-0.00,5.77
-0.191201,2.051773,1.299772,-0.049542,0.551765,-0.216301,0.674082,-1.104498,0.00,-0.00,5.77
-0.167838,2.017536,1.275437,-0.014050,0.582054,-0.274971,0.682007,-1.104673,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
-0.158589,2.003984,1.265805,0.000000,0.592366,-0.295437,0.685109,-1.104688,0.00,-0.00,5.77
0.285853,1.352688,0.802875,0.675246,0.805810,-0.823917,0.809566,-1.069100,0.00,-0.00,5.77
0.636761,0.838460,0.437372,1.208381,0.847789,-1.051102,0.870042,-0.988409,0.00,-0.00,5.77
0.904221,0.446519,0.158786,1.614734,0.842853,-1.176074,0.889862,-0.891476,0.00,-0.00,5.77
1.098324,0.162077,-0.043389,1.909635,0.822576,-1.246339,0.887104,-0.797607,0.00,-0.00,5.77
1.229158,-0.029645,-0.179664,2.108412,0.801626,-1.284957,0.875381,-0.720352,0.00,-0.00,5.77
1.306814,-0.143448,-0.260550,2.226395,0.786518,-1.304660,0.863646,-0.667498,0.00,-0.00,5.77
1.341381,-0.194103,-0.296554,2.278912,0.779320,-1.312858,0.857121,-0.642026,0.00,-0.00,5.77
1.342948,-0.196400,-0.298188,2.281293,0.778978,-1.313211,0.856804,-0.640840,0.00,-0.00,5.77
1.321605,-0.165124,-0.275957,2.248867,0.783409,-1.308130,0.860961,-0.656760,0.00,-0.00,5.77
1.287442,-0.115060,-0.240373,2.196963,0.790480,-1.299980,0.866932,-0.681216,0.00,-0.00,5.77
1.250548,-0.060993,-0.201944,2.140910,0.797664,-1.290624,0.872548,-0.706386,0.00,-0.00,5.77
1.221013,-0.017713,-0.171181,2.096036,0.803096,-1.282751,0.876389,-0.725565,0.00,-0.00,5.77
1.208925,0.000000,-0.158591,2.077672,0.805237,-1.279430,0.877812,-0.733196,0.00,-0.00,5.77
0.694018,0.754556,0.377734,1.295371,0.849096,-1.080811,0.876362,-0.970464,0.00,-0.00,5.77
0.307191,1.321419,0.780650,0.707663,0.810291,-0.840402,0.814257,-1.065571,0.00,-0.00,5.77
0.031787,1.724998,1.067506,0.289245,0.723465,-0.584465,0.744465,-1.098199,0.00,-0.00,5.77
-0.148839,1.989696,1.255649,0.014810,0.602619,-0.315996,0.688358,-1.104671,0.00,-0.00,5.77
-0.251352,2.139919,1.362425,-0.140930,0.394745,0.065170,0.653102,-1.103149,0.00,-0.00,5.77
