leftArm,leftForearm,rightArm,rightForearm,leftThigh,leftShin,rightThigh,rightShin,position:hips:x,position:hips:y,position:hips:z

0.000000,0.000000,0.000000,0.000000,0.719623,-1.157563,0.719623,-1.157562,0.00,-0.00,7.80

0.013707,0.006587,-0.013707,-0.006587,0.705168,-1.146114,0.712162,-1.146188,0.00,-0.00,7.75

0.051589,0.025297,-0.051589,-0.025297,0.672589,-1.114451,0.691825,-1.115014,0.00,-0.00,7.61

0.108809,0.054501,-0.108809,-0.054501,0.627694,-1.065263,0.660649,-1.066953,0.00,-0.00,7.40

0.180531,0.092584,-0.180531,-0.092584,0.660840,-1.138832,0.620304,-1.004309,0.00,-0.00,7.15

0.261909,0.137925,-0.261909,-0.137925,0.756209,-1.308746,0.572379,-0.929244,0.00,-0.00,6.85

0.348102,0.188915,-0.348102,-0.188915,0.834792,-1.449640,0.517926,-0.843212,0.00,-0.00,6.54

0.434271,0.243932,-0.434271,-0.243932,0.893835,-1.556033,0.458070,-0.747816,0.00,-0.00,6.23

0.515574,0.301363,-0.515574,-0.301363,0.920803,-1.604832,0.393811,-0.644562,0.00,-0.00,5.92

0.587171,0.359590,-0.587170,-0.359590,1.095704,-1.528104,0.326226,-0.535177,0.00,-0.00,5.64

0.644219,0.416998,-0.644219,-0.416998,1.147806,-1.097539,0.257130,-0.422644,0.00,-0.00,5.40

0.681878,0.471969,-0.681878,-0.471969,0.797115,-0.237756,0.190108,-0.312949,0.00,-0.00,5.22

0.695309,0.522887,-0.695309,-0.522887,0.889212,-0.416407,0.133768,-0.220420,0.00,-0.00,5.09

0.686253,0.568135,-0.686253,-0.568135,1.028551,-0.725342,0.109194,-0.179991,0.00,-0.00,5.05

0.660715,0.606098,-0.660714,-0.606098,1.131639,-1.029414,0.144825,-0.238598,0.00,-0.00,5.11

0.620566,0.635158,-0.620566,-0.635158,1.171115,-1.285462,0.218262,-0.359085,0.00,-0.00,5.29

0.567680,0.653700,-0.567680,-0.653700,1.137563,-1.466682,0.300642,-0.493582,0.00,-0.00,5.55

0.503933,0.660104,-0.503932,-0.660103,1.050046,-1.564767,0.382120,-0.625693,0.00,-0.00,5.87

0.431195,0.642883,-0.431195,-0.642883,0.958993,-1.599227,0.459021,-0.749337,0.00,-0.00,6.23

0.351343,0.595919,-0.351343,-0.595919,0.920745,-1.604758,0.529363,-0.861347,0.00,-0.00,6.61

0.266247,0.524715,-0.266247,-0.524715,0.810629,-1.406194,0.591510,-0.959288,0.00,-0.00,6.97

0.177785,0.434774,-0.177785,-0.434774,0.606432,-1.038606,0.643780,-1.040816,0.00,-0.00,7.29

0.087827,0.331601,-0.087827,-0.331600,0.673487,-1.103001,0.684128,-1.103178,0.00,-0.00,7.56

-0.001544,0.220697,0.001544,-0.220697,0.710323,-1.143374,0.710322,-1.143373,0.00,-0.00,7.73

-0.089281,0.107566,0.089281,-0.107566,0.719620,-1.157559,0.719620,-1.157558,0.00,-0.00,7.80

-0.173873,-0.002290,0.173873,0.002290,0.712543,-1.146771,0.712543,-1.146771,0.00,-0.00,7.75

-0.254810,-0.104367,0.254810,0.104367,0.691816,-1.115000,0.691815,-1.115000,0.00,-0.00,7.61

-0.331383,-0.198002,0.331383,0.198002,0.657079,-1.061430,0.657079,-1.061430,0.00,-0.00,7.38

-0.402880,-0.283391,0.402880,0.283391,0.608785,-0.986328,0.608765,-0.986328,0.00,-0.00,7.07

-0.468589,-0.360744,0.468589,0.360744,0.548564,-0.891720,0.528143,-0.890921,0.00,-0.00,6.71

-0.527798,-0.430268,0.527798,0.430268,0.479071,-0.781381,0.709112,-1.224646,0.00,-0.00,6.34

-0.579795,-0.492168,0.579796,0.492167,0.403625,-0.660384,0.867551,-1.508554,0.00,-0.00,5.97

-0.623871,-0.546653,0.623872,0.546653,0.325883,-0.534619,0.920920,-1.604820,0.00,-0.00,5.64

-0.659313,-0.593930,0.659313,0.593930,0.250011,-0.411014,1.046892,-1.566658,0.00,-0.00,5.38

-0.685408,-0.634206,0.685408,0.634206,0.181206,-0.298347,1.167400,-1.359604,0.00,-0.00,5.19

-0.701445,-0.667687,0.701445,0.667687,0.129023,-0.212617,1.117031,-0.976773,0.00,-0.00,5.08

-0.706702,-0.694583,0.706702,0.694583,0.109247,-0.180077,0.940942,-0.524190,0.00,-0.00,5.05

-0.689232,-0.715098,0.689232,0.715098,0.157266,-0.259043,0.797638,-0.238732,0.00,-0.00,5.14

-0.643244,-0.729441,0.643244,0.729441,0.242909,-0.399406,1.009101,-0.678061,0.00,-0.00,5.36

